ID,ParentID,Name,top,columns,sort_order,Image,date_added,date_modified,language_id,seo_keyword,description,meta_description,meta_keywords,store_ids,layout,Status
393,503,Pilka (Linea Tortora),,,,data/DEZUTES/Linea Tortora/dovanu-dezute-maiselis-dezutes-maiseliai-pakavimas-vokelis-saldainiams-vestuvems-vestuves-verslo-dovanos-kaledos-kaledines-dovanos-linea-tortora.jpg,,,,Pilka (Linea Tortora),,,,,,TRUE
463,503,Pilka (Matelasse Grigio),,,,/Dezutes/Matelasse Grigio/dezutes_pilkos_matelasse_grigio.jpg,,,,Pilka (Matelasse Grigio),,,,,,TRUE
148,503,Sidabrinė (Pelle Grigio),,,,data/DEZUTES/Pelle Grigio/108.gif,,,,Sidabrinė (Pelle Grigio),,,,,,TRUE
162,503,Sidabrinė (Seta Argento),,,,data/DEZUTES/Seta Argento/52.gif,,,,Sidabrinė (Seta Argento),,,,,,TRUE
547,503,Smokingas (Smoking),,,,,,,,Smokingas (Smoking),,,,,,TRUE
501,128,Kreminės dėžutės,,,,/filter/Atviruko spalva forma/krmines.jpg,,,,Kreminės dėžutės,,,,,,TRUE
101,501,Kreminė (Diamante),,,,/Dezutes/Diamante/Diamante.jpg,,,,Kreminė (Diamante),,,,,,TRUE
102,501,Kreminė (Seta Avorio),,,,data/DEZUTES/Seta Avorio/104.gif,,,,Kreminė (Seta Avorio),,,,,,TRUE
465,501,Kreminė (Sfere Crema),,,,/Dezutes/Sfere Creme/Sfere Creme-k.jpg,,,,Kreminė (Sfere Crema),,,,,,TRUE
349,501,Kreminė (Tela Neutro),,,,data/DEZUTES/Tela Neutro/dovanu-dezutes-verslo-dezute-pakavimas-vestuvems-vestuves-buteliams-kaledos-kaledines-dovanos-tela-neutro.jpg,,,,Kreminė (Tela Neutro),,,,,,TRUE
481,501,Pilka su žirniukais (Ateli.Tortora),,,,/Dezutes/Ateli.Tortora/Pilka su taskiukais.jpg,,,,Pilka su žirniukais (Ateli.Tortora),,,,,,TRUE
303,501,Rusva su gėlytėmis (Fiore ricamo),,,,data/DEZUTES/Fiore ric./dovanu-dezute-dezutes-saldainiams-dovanos-dovanele-dovaneles-sveciams-ispudziu-studija-Fiore-ricam.jpg,,,,Rusva su gėlytėmis (Fiore ricamo),,,,,,TRUE
106,501,Rusva su žirniukais,,,,data/DEZUTES/Dots Nocciola/141.gif,,,,Rusva su žirniukais,,,,,,TRUE
494,501,Šampaninė (Macrame),,,,/makrame.jpg,,,,Šampaninė (Macrame),,,,,,TRUE
505,128,Mėlynos dėžutės,,,,/filter/Atviruko spalva forma/melynos.jpg,,,,Mėlynos dėžutės,,,,,,TRUE
527,505,Melsvos (Seta bluet),,,,,,,,Melsvos (Seta bluet),,,,,,TRUE
209,505,Mėlyna ( Juta Blue) ,,,,data/DEZUTES/Juta Blue/seta blue.jpg,,,,Mėlyna ( Juta Blue) ,,,,,,TRUE
108,505,Žydra su žirniukais,,,,data/DEZUTES/Dots Anice/zydros-dovanu-dezutes-krikstynos-su-zirniukais.gif,,,,Žydra su žirniukais,,,,,,TRUE
109,128,Raudonos,,,,data/DEZUTES/Dots Amarena/149.gif,,,,Raudonos,,,,,,TRUE
506,128,Žalios dėžutės,,,,/filter/Atviruko spalva forma/zalia j.jpg,,,,Žalios dėžutės,,,,,,TRUE
520,506,Matelasse Eucalipto,,,,/Dezutes/Mat. eucalipto/eucalipto.png,,,,Matelasse Eucalipto,,,,,,TRUE
515,506,Mėtinė (Damas.Verdino),,,,,,,,Mėtinė (Damas.Verdino),,,,,,TRUE
394,506,Samanų žalia (Linea Verde),,,,data/DEZUTES/Linea Verde/Linea Verde.jpg,,,,Samanų žalia (Linea Verde),,,,,,TRUE
514,506,Žalia (Damas. Verde),,,,,,,,Žalia (Damas. Verde),,,,,,TRUE
216,506,Žalia (Seta Verde),,,,data/DEZUTES/Seta Verde/seta verde 1.jpg,,,,Žalia (Seta Verde),,,,,,TRUE
107,506,Žalia su žirniukais (Dots Menta),,,,data/DEZUTES/Dots Menta/dovanu-dezutes-dovaneles-sveciams-ispudziu-studija-dots menta.gif,,,,Žalia su žirniukais (Dots Menta),,,,,,TRUE
158,24,Dėžutės buteliams,,,,/banners/butel.jpg,,,,Dėžutės buteliams,,,,,,TRUE
163,158,Auksinė (Seta Oro),,,,data/DEZUTES/Seta Oro/55.gif,,,,Auksinė (Seta Oro),,,,,,TRUE
161,158,Balta ( Pelle Bianco),,,,data/DEZUTES/Pelle Bianco/49.gif,,,,Balta ( Pelle Bianco),,,,,,TRUE
